system:time_start,SCL filter only
11-May-21,0.544
11-May-21,0.544
31-May-21,0.633
31-May-21,0.633
31-May-21,0.696
2-Jun-21,0.608
2-Jun-21,0.607
2-Jun-21,0.672
5-Jun-21,0.604
7-Jun-21,0.605
7-Jun-21,0.605
7-Jun-21,0.657
10-Jun-21,0.479
10-Jun-21,0.48
17-Jun-21,0.55
17-Jun-21,0.55
17-Jun-21,0.607
15-Jul-21,0.537
15-Jul-21,0.537
6-Aug-21,0.552
6-Aug-21,0.554
14-Aug-21,0.589
14-Aug-21,0.589
14-Aug-21,0.572
3-Sep-21,0.628
3-Sep-21,0.629
3-Sep-21,0.695
8-Sep-21,0.61
8-Sep-21,0.61
8-Sep-21,0.674
10-Sep-21,0.593
10-Sep-21,0.593
8-Oct-21,0.587
8-Oct-21,0.66
10-Oct-21,0.612
10-Oct-21,0.613
10-Oct-21,0.696
13-Oct-21,0.62
13-Oct-21,0.62
28-Oct-21,0.571
28-Oct-21,0.57
28-Oct-21,0.666
30-Oct-21,0.541
30-Oct-21,0.541
22-Nov-21,0.517
22-Nov-21,0.518
2-Dec-21,0.499
2-Dec-21,0.499
2-Dec-21,0.615
6-Jan-22,0.497
6-Jan-22,0.498
6-Jan-22,0.611
21-Jan-22,0.315
21-Jan-22,0.308
12-Feb-22,0.321
7-Mar-22,0.253
7-Mar-22,0.253
7-Mar-22,0.309
9-Mar-22,0.257
9-Mar-22,0.257
9-Mar-22,0.313
12-Mar-22,0.253
12-Mar-22,0.253
12-Mar-22,0.307
14-Mar-22,0.24
14-Mar-22,0.241
19-Mar-22,0.225
19-Mar-22,0.225
22-Mar-22,0.253
22-Mar-22,0.253
22-Mar-22,0.304
24-Mar-22,0.253
24-Mar-22,0.253
24-Mar-22,0.307
27-Mar-22,0.218
27-Mar-22,0.218
27-Mar-22,0.243
16-Apr-22,0.285
16-Apr-22,0.285
16-Apr-22,0.328
18-Apr-22,0.282
18-Apr-22,0.283
23-Apr-22,0.27
23-Apr-22,0.27
23-Apr-22,0.287
3-May-22,0.355
8-May-22,0.367
8-May-22,0.367
18-May-22,0.379
18-May-22,0.38
18-May-22,0.409
10-Jun-22,0.376
10-Jun-22,0.376
15-Jun-22,0.394
